uqifllhkqn;siwqjc2pb3;SPANISH;60;293;24172
mavlscithc;e9savzeel0;GERMAN;36;174;14587
xlacanwgpc;h9lutwkaui;GERMAN;38;186;15622
bkrfrazvih;akz9by769w;SPANISH;41;199;16379
lmrmhhowni;lfsfaky6k4;GERMAN;66;342;28285
bxwxcitvua;jfgumadsk1;TURKISH;33;176;14352
sflhrwhwrc;zd3kpoyct2;GERMAN;17;77;6474
nedzhseybm;cxq3ufxb5u;TURKISH;4;13;1053
engzmrqdmo;4k8zqcxcx5;TURKISH;68;362;29770
sumyeeknmb;l753s4ss3i;SPANISH;38;180;14785
yggtmliaww;17dfh8s0md;GERMAN;47;237;19750
wbjdgshtsz;kshrib2lcx;TURKISH;53;278;22779
scfnrtlyiy;lxtq79nmoj;GERMAN;7;37;3073
bxjqlmfxpw;pbz7lw638h;ITALIAN;22;101;8315
qtfdzvcgpg;x4pwb1nkii;TURKISH;18;91;7335
wilpfuunon;muqlslmswe;ITALIAN;3;11;911
zgrhnwmsha;oe2qs60gr6;SPANISH;16;61;5106
eriheizedc;h5dfos9har;TURKISH;36;188;15270
rvaaqilojl;vl2wwds12n;GERMAN;43;219;18279
bkxvvmymrh;upy8kfqovi;ITALIAN;47;215;17598
dmeedqglyr;sdx7rhlsi4;SPANISH;54;262;21616
wghvbdxiyg;sbe9m9zbqt;TURKISH;54;282;23066
dpeapthxfy;7pnw94c18e;GERMAN;36;174;14587
oeectnfdkd;q9l11umh71;SPANISH;59;286;23562
nhkbqkdiik;9igrthx9rx;ITALIAN;68;332;27174
foywzubmyi;nf9fbpx6pm;ITALIAN;74;366;30056
zouuofxsxe;oth4824rjl;ITALIAN;11;54;4543
trcxoetrlc;vxa65gf3cz;TURKISH;36;191;15512
nqboobllbl;dsrmwy5yel;TURKISH;68;364;29926
iqfidewffq;u5jv6xwg42;ITALIAN;68;328;26855
ahscxlcahi;a4rtm4sunp;SPANISH;22;93;7751
ngbjcuygdw;l0nz5hw7kd;TURKISH;34;179;14587
jtcoucqyhq;m9l8z9iz36;ITALIAN;15;71;5935
vvisacahlw;rh7eahf80l;SPANISH;32;153;12615
udspfhjrwy;p329czl486;GERMAN;94;466;38353
ccxgtnopuz;dchogeg16s;SPANISH;10;36;3023
uitmywlpbp;0ltfdcw4gz;TURKISH;26;135;10909
neszbszeqn;patrjgnc4f;ITALIAN;40;179;14614
slzodnxccl;xxscr81v9t;SPANISH;12;44;3624
ecpzcmdlok;ybnx5fcuaq;ITALIAN;71;345;28256
akslglxwyy;0kwtjwjgca;SPANISH;53;254;20997
vnhlycjnsb;l5ididz10o;GERMAN;95;474;39106
ctqopehddw;i6t349xrs4;TURKISH;31;163;13160
lshrdpntqq;qs36k4hoo6;SPANISH;19;75;6303
verodgmfgk;mmtlv4d7g6;SPANISH;21;88;7349
hbfyblckgr;8kvfyxzfhb;TURKISH;20;100;7997
xyhzadssbo;21ulrohhlt;TURKISH;47;250;20413
ejsfybzkdc;i1cispkl6p;TURKISH;18;92;7405
ezxccpgsvw;l9rzz7hs7z;TURKISH;38;202;16423
catxavcqyt;xf65hk92p4;SPANISH;58;277;22893
jiteuvzwfw;m94256irly;SPANISH;11;41;3376
qaikfotgev;shg6v7dfrw;SPANISH;52;246;20281
jbgtycykyx;tx4fzx8p1p;ITALIAN;51;245;20102
wkjykubytn;qmqfq57c8d;TURKISH;53;274;22453
wxgbhnmcds;v5fmvsnikz;ITALIAN;9;45;3798
vwrdzwrham;q4a61z2iw6;ITALIAN;41;180;14699
sulteiayor;e3bobgk2jy;TURKISH;54;283;23166
ifyowpwywh;ijnqszmdbc;TURKISH;26;136;10972
qgvcwunjmx;hyhb0b7uwx;ITALIAN;59;282;23127
wukobaudzq;3v3hlt47zl;TURKISH;69;367;30162
hcidmjetcu;ii967rk1hw;SPANISH;59;283;23342
ptxzutyzom;4nd7l4c3nl;SPANISH;43;208;17132
zsubhwsfxe;rfn8uziecm;SPANISH;7;26;2196
xutgkudesn;mjj22id0sj;SPANISH;18;70;5909
dsvaevtgos;f6m5cr9fj2;SPANISH;47;225;18533
vbjltwsigc;mh93bninti;ITALIAN;53;262;21526
fanwhvvfem;afpop6r2kr;TURKISH;36;186;15139
akidnuknas;078i5i2kk0;ITALIAN;10;49;4107
sgbrsflmvq;120pou0e5p;GERMAN;32;155;12933
rdyqiiqqei;74vfsttf0r;ITALIAN;74;368;30227
malgcnncbl;3b56wqecdc;TURKISH;20;103;8264
ewfddikghj;m2y1i4s7al;ITALIAN;14;68;5660
dvbjiiqlvc;dbgr5uyj4e;SPANISH;47;224;18442
ykvdmaqnpb;cc9ceo79an;GERMAN;37;178;14967
bnivrxypby;5ipzyh8ahr;SPANISH;20;80;6722
pdbtewvjrq;c91bdvd9h2;ITALIAN;74;367;30131
unnsqchyjp;6mt3owdles;SPANISH;41;196;16135
wzestoqnlq;3u2gb9x0iz;GERMAN;36;174;14587
jlzvuatsuw;rdgtpk6iro;GERMAN;13;64;5408
eykfrzajbs;vlzwqaxeld;GERMAN;62;315;26066
hnzrlhwcwz;mcgzrpnxxg;ITALIAN;12;60;5072
wcjbwssiam;lxiyvohx0b;GERMAN;78;394;32547
bkmbacjatg;4h8dhjf8in;ITALIAN;14;66;5516
sofzhtfsiz;k1jsaavd1h;ITALIAN;28;130;10673
jvmohtgkvc;xcf6mwvzy7;GERMAN;95;475;39170
micjdulrja;exa14lisf7;TURKISH;50;262;21436
uvjutjhltt;0grcivxsk7;ITALIAN;55;272;22318
nfalygsmwk;4m4u93qb6u;ITALIAN;46;214;17533
fxovkpvfhr;g5f03ak77e;TURKISH;28;148;11900
uhxuzacywl;p1nu0ajdk1;TURKISH;23;116;9320
rnppgwhubc;0u6f4mynqj;GERMAN;3;15;1266
iqaqbtwccl;a2r36t42wv;TURKISH;14;74;5996
bywxtxdetx;qd16o15449;GERMAN;43;216;18038
piqvtmqqhw;2s36gxtk26;TURKISH;27;145;11623
fieymzbtaf;7iak3n7d67;TURKISH;15;76;6122
oirkyisgst;tszt6afse8;TURKISH;14;74;5996
puyrjtjlvg;d2wprrvt0u;GERMAN;43;216;18038
irjtwhuccd;pyh5pfzhe5;GERMAN;25;118;9908
ypxhdotvvu;ncbjv65n2o;ITALIAN;61;295;24248
hcrsmvhurw;d5o1im5a38;TURKISH;15;76;6122
